Org Name,The Bucket Ministry Nima,Unnamed: 2,Unnamed: 3,Unnamed: 4
Village,Zone,Tribe,Language,NS Materials
441,,Akyem,English,Printed Bible
ABM,,Asantes,Akyem,Mega Voice
Alafia,,Bassari,Bono,Other Audio Bible
Alaska,,Bono,Chamba,
Bawasa,,Builsa,Chekosi,
Deva,,Chamba,Chumburu,
Downside Research,,Chekosis,Dagaare,
Free Pipe,,Chumburu,Dagbani,
Free Town,,Dagaati,Ewe,
Gorillas,,Dagomba,Fante,
Hollandians,,Ewe,Frafra,
Hot Coffee,,Fantes,Ga/Adangbe,
Kador,,Frafra,Gonja,
Loss,,Gas,Grune,
Michigan,,Gonja,Kanjaga,
Naza Bridge,,Grune,Konkomba,
Police Station,,Konkomba,Kotokoli,
Roudabout,,Kotokoli,Krobo,
Uganda,,Krobo,Mamprusi,
UN,,Mamprusi,Nanuni,
Washing Bay,,Nanumba,Nchumburu,
,,Nchumuru,Nzema,
,,Nzema,Oniyan,
,,Sisaala,Sisaali,
,,Talensi,Talni,
,,Waala,Twi,
,,Wala,Waali,
,,,Wali,
