Org Name,The Bucket Ministry Kibera,Unnamed: 2,Unnamed: 3,Unnamed: 4
Village,Zone,Tribe,Language,NS Materials
Kianda,1-7,,English,Printed Bible
Soweto,1-5,,Spanish,Mega Voice
Olympic,1-4,,Portuguese,Other Audio Bible
Ayany,1-6,,Swahili,Download from the WiFi Box
Maranatha,1-6,,French,SD Copied from the WiFi Box
Gorofani,1-4,,Creole,
KK,1-4,,Other,
PAG,1-3,,,
MAMAOKINDA,1-4,,,
SOKOMOKO,1-4,,,
Kisumu Ndogo,1-7,,,
Lindi A,1-10,,,
Lindi B,1-8,,,
Silanga A,1-8,,,
Silanga B,1-8,,,
Soweto East,1-10,,,
LainiSaba A,1-9,,,
LainiSaba B,1-8,,,
Mashimoni A,1-10,,,
Mashimoni B,1-7,,,
Makina,1-13,,,
Karanja,1-9,,,
Fort Jesus,1-6,,,
Raila,1-13,,,
Canan,1-6,,,
