Org Name,The Bucket Ministry Kawangware,Unnamed: 2,Unnamed: 3,Unnamed: 4
Village,Zone,Tribe,Language,NS Materials
Gatina-1,,ABASUBA,English,Printed Bible
Gatina-2,,BAGANDA,Swahili,Mega Voice
Gatina-3,,BORANA,SUBA,Other Audio Bible
Gatina-4,,BURUNDI,GANDA,Download from the WiFi Box
Gatina-5,,CHAGA,BORANA,SD Copied from the WiFi Box
Gatina-6,,CHONYI,RUNDI,
Coast-1 ,,CONGOLESE,CHAGA ,
Coast-2,,DIGO,CHONYI,
Coast-3,,DURUMA,LINGALA,
Congo-1,,EMBU,DIGO,
Congo-2,,GIRIAMA,DURUMA,
Congo-3,,KALENJIN,EMBU,
Kabiria-1,,KAMBA,GIRIAMA,
Kabiria-2,,KAUMA,KALENJIN,
Kabiria-3,,KIKUYUS,KAMBA,
Kabiria-4,,KISII,KAUMA,
Kabiria-5,,KURIA,KIKUYU,
Kabiro-1,,LUHYAS,KISII,
Kabiro-2,,LUO,KURIA,
Kabiro-3,,MAASAI,LUHYA,
Kabiro-4,,MERU,LUO,
Kabiro-5,,NUBIANS,MAASAI,
Kabiro-6,,RENDILE,MERU,
Kangemi-1,,RWANDIS,NUBI,
Kangemi-2,,SAMBURU,RENDILE,
Kangemi-3,,SOMALI,RWANDA,
Kangemi-4,,SUDANESE,SAMBURU,
Kangemi-5,,SUKUMA,SOMALI,
Kangemi-6,,TAITA,DINKA and ARABIC,
Kangemi-7,,TESOS,SUKUMA,
Kangemi-8,,TURKANA,TAITA,
Kangemi-9,,WAGISU,ATESO,
Muslim-1,,,TURKANA,
Muslim-2,,,GISU,
Muslim-3,,,,
Riruta-1,,,,
Riruta-2,,,,
Riruta-3,,,,
Sokoni-1,,,,
Sokoni-2,,,,
Sokoni-3,,,,
Wanyee-1,,,,
Wanyee-2,,,,
Wanyee-3,,,,
Wanyee-4,,,,
Wanyee-5,,,,
Wanyee-6,,,,
Wanyee-7,,,,
