Org Name,The Bucket Ministry Tribal Park,Unnamed: 2,Unnamed: 3,Unnamed: 4
Village,Zone,Tribe,Language,NS Materials
Tribal Park,,Apurinã,English,Printed Bible
City of Lights,,Arapasso,Portuguese,Mega Voice
Zona Leste (Amar),,Arara,Apurina,Other Audio Bible
,,Baniwa,Baniwa,
,,Baré,Bare,
,,Carapãno,Bora,
,,Dessano,Desano,
,,Guanavena,Kokama,
,,Jupari Tapuia,Kulina,
,,Kaixana,Marubo,
,,Kambeba,Miranha,
,,Kokama,Mura,
,,Kripaco,Nhengatu,
,,Kulina,Piraha,
,,Kuripako,Piratapuyo,
,,Marobu,Satere-Mawe,
,,Miranha,Tenharim,
,,Miriti Tapuia,Ticuna,
,,Mundurucu,Tucano,
,,Mura,Tuyuca,
,,Nhegatu,,
,,Piratapuia,,
,,Piratapuia,,
,,Sateré-Mawé,,
,,Siusi Tapuia,,
,,Tenharim,,
,,Ticuna,,
,,Tucano,,
,,Tupinambá,,
,,Tuyuca,,
,,Warao,,
,,Witoto,,
