Org Name,The Bucket Ministry Namatala,Unnamed: 2,Unnamed: 3,Unnamed: 4
Village,Zone,Tribe,Language,NS Materials
Doko cell,,,English,Printed Bible
Wandawa cell,,,Kiswahili,Mega Voice
Bubilabi cell,,,Acholi,Other Audio Bible
Somero cell,,,Alur,
Kiduda cell,,,Ateso,
Nyanza cell,,,Dhopadhola,
Muvule cell,,,Kakwa,
Sissye cell,,,Karimojong,
Bugwere cell,,,Kebu,
,,,Kumam,
,,,Kupsapiny,
,,,Lango,
,,,Lubwisi,
,,,Luganda,
,,,Lugungu,
,,,Lugwere ,
,,,Lumasaba ,
,,,Lunyankore,
,,,Lusamya,
,,,Lusoga,
,,,Lunyole,
,,,Lugbara,
